<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1998.04.21	310.30	314.40	310.00	313.50	11202	0	0
1998.04.22	312.60	315.20	311.90	314.30	9802	0	0
1998.04.23	313.40	314.20	311.80	312.90	8602	0	0
1998.04.27	309.39	310.90	306.30	308.20	16022	0	0
1998.04.28	307.65	311.40	307.00	310.50	11902	0	0
1998.04.29	310.79	312.10	305.50	306.90	18622	0	0
1998.04.30	306.25	307.20	301.10	302.50	16902	0	0
1998.05.04	303.65	305.25	302.50	303.60	10902	0	0
1998.05.05	303.60	304.30	299.40	301.00	14402	0	0
1998.05.06	300.45	301.50	296.60	298.75	16202	0	0
1998.05.07	297.20	301.80	297.20	300.10	12602	0	0
1998.05.11	299.80	300.60	296.90	298.20	11602	0	0
1998.05.12	297.80	300.10	295.20	298.70	17802	0	0
1998.05.13	297.80	298.80	295.10	298.80	12802	0	0
1998.05.14	298.60	303.90	298.60	301.50	15402	0	0
1998.05.18	299.15	300.70	298.10	299.00	10102	0	0
1998.05.19	297.85	301.40	297.00	299.90	13502	0	0
1998.05.20	299.10	300.90	298.70	300.90	5202	0	0
1998.05.21	301.00	301.70	299.20	300.10	8202	0	0
1998.05.25	299.30	300.10	294.70	295.80	14602	0	0
1998.05.26	294.75	296.50	290.40	293.35	21602	0	0
1998.05.27	294.15	295.00	292.80	293.45	7402	0	0
1998.05.28	292.65	294.80	291.20	293.20	13302	0	0
1998.06.01	288.00	292.30	286.75	291.40	15402	0	0
1998.06.02	290.85	294.65	290.00	293.40	13502	0	0
1998.06.03	291.90	293.40	291.40	293.40	5002	0	0
1998.06.04	292.60	294.20	290.30	291.90	14202	0	0
1998.06.08	294.90	299.30	292.30	293.90	26002	0	0
1998.06.09	292.80	295.60	288.65	293.50	26402	0	0
1998.06.10	292.35	294.80	286.50	287.30	23102	0	0
1998.06.11	286.50	289.40	284.50	286.25	19102	0	0
1998.06.15	284.25	289.00	283.95	288.90	10902	0	0
1998.06.16	288.85	294.40	287.40	293.70	18302	0	0
1998.06.17	295.70	296.00	290.90	293.50	16002	0	0
