<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	00:00:00	1518.06	1531.39	1517.27	1529.08	154771	0	0
2020.01.02	01:00:00	1519.89	1521.14	1518.12	1518.26	2381	0	23
2020.01.02	02:00:00	1518.27	1519.27	1518.01	1518.55	1573	0	23
2020.01.02	03:00:00	1518.51	1520.82	1517.14	1519.32	3497	0	23
2020.01.02	04:00:00	1519.34	1520.81	1518.34	1520.52	2282	0	23
2020.01.02	05:00:00	1520.52	1521.09	1519.74	1520.27	1427	0	25
2020.01.02	06:00:00	1520.25	1520.35	1519.46	1519.46	749	0	25
2020.01.02	07:00:00	1519.42	1520.37	1518.93	1520.19	1579	0	23
2020.01.02	08:00:00	1520.21	1520.91	1519.26	1520.82	2192	0	23
2020.01.02	09:00:00	1520.83	1521.34	1519.04	1519.11	2840	0	23
2020.01.02	10:00:00	1519.10	1520.97	1518.39	1520.72	3928	0	23
2020.01.02	11:00:00	1520.71	1521.29	1519.52	1520.61	2366	0	23
2020.01.02	12:00:00	1520.62	1521.32	1519.62	1521.17	2438	0	23
2020.01.02	13:00:00	1521.16	1522.37	1521.11	1521.94	2209	0	23
2020.01.02	14:00:00	1521.94	1523.60	1521.52	1523.05	2217	0	23
2020.01.02	15:00:00	1523.02	1529.00	1522.65	1528.00	5838	0	23
2020.01.02	16:00:00	1528.00	1530.48	1525.54	1526.26	8563	0	23
2020.01.02	17:00:00	1526.26	1531.28	1525.81	1529.09	7464	0	23
2020.01.02	18:00:00	1529.15	1529.16	1525.20	1525.46	4761	0	23
2020.01.02	19:00:00	1525.49	1525.99	1522.75	1525.19	3771	0	23
2020.01.02	20:00:00	1525.19	1526.46	1524.84	1526.29	3038	0	23
2020.01.02	21:00:00	1526.29	1526.88	1525.49	1526.69	1816	0	23
2020.01.02	22:00:00	1526.69	1528.54	1526.44	1528.29	1862	0	23
2020.01.02	23:00:00	1528.27	1528.94	1527.86	1528.70	499	0	23
2020.01.03	00:00:00	1528.89	1553.49	1528.04	1551.48	229906	0	0
2020.01.03	01:00:00	1528.54	1528.83	1527.88	1528.72	949	0	23
2020.01.03	02:00:00	1528.91	1530.58	1528.91	1530.49	1530	0	23
2020.01.03	03:00:00	1530.48	1535.71	1529.86	1534.87	4234	0	23
2020.01.03	04:00:00	1534.88	1541.01	1532.54	1538.22	9548	0	23
2020.01.03	05:00:00	1538.27	1540.50	1537.71	1538.54	5400	0	23
2020.01.03	06:00:00	1538.54	1539.59	1537.39	1538.72	2644	0	23
2020.01.03	07:00:00	1538.70	1543.77	1538.28	1541.39	4951	0	23
2020.01.03	08:00:00	1541.36	1542.51	1540.95	1541.18	2550	0	23
2020.01.03	09:00:00	1541.18	1543.89	1540.12	1543.33	4646	0	23
2020.01.03	10:00:00	1543.38	1545.30	1542.89	1544.21	4676	0	23
2020.01.03	11:00:00	1544.23	1550.33	1544.10	1546.74	4970	0	23
2020.01.03	12:00:00	1546.83	1549.54	1545.26	1548.44	5163	0	23
2020.01.03	13:00:00	1548.48	1551.45	1547.84	1549.34	3961	0	23
2020.01.03	14:00:00	1549.35	1549.95	1545.30	1546.36	4496	0	23
2020.01.03	15:00:00	1546.27	1547.32	1540.84	1546.21	7033	0	23
2020.01.03	16:00:00	1546.30	1548.03	1544.05	1545.96	9841	0	23
2020.01.03	17:00:00	1549.33	1551.00	1546.81	1548.79	10434	0	23
2020.01.03	18:00:00	1548.80	1550.39	1547.53	1548.22	3862	0	23
2020.01.03	19:00:00	1548.20	1548.82	1546.92	1548.72	2865	0	23
2020.01.03	20:00:00	1548.72	1553.44	1548.32	1549.48	4212	0	23
2020.01.03	21:00:00	1549.44	1549.72	1546.16	1547.77	4106	0	23
2020.01.03	22:00:00	1547.76	1549.00	1546.84	1548.97	2873	0	23
2020.01.03	23:00:00	1549.05	1551.89	1548.58	1551.44	1083	0	23
2020.01.06	00:00:00	1560.40	1588.02	1559.29	1565.50	272948	0	0
2020.01.06	01:00:00	1566.71	1588.04	1566.28	1569.16	9177	0	23
2020.01.06	02:00:00	1569.14	1570.81	1567.04	1569.46	6698	0	23
2020.01.06	03:00:00	1569.43	1579.98	1568.79	1577.70	7905	0	23
2020.01.06	04:00:00	1577.71	1577.95	1575.20	1577.49	4056	0	23
2020.01.06	05:00:00	1577.48	1579.43	1576.76	1578.03	3118	0	23
2020.01.06	06:00:00	1578.01	1578.23	1574.81	1576.01	3645	0	23
2020.01.06	07:00:00	1576.03	1577.29	1573.42	1574.87	3527	0	23
2020.01.06	08:00:00	1574.84	1577.70	1573.58	1574.31	4093	0	23
2020.01.06	09:00:00	1574.28	1575.11	1570.15	1574.11	5869	0	23
2020.01.06	10:00:00	1574.13	1576.43	1571.29	1575.61	6676	0	23
2020.01.06	11:00:00	1575.63	1577.97	1574.19	1577.20	4654	0	23
2020.01.06	12:00:00	1577.20	1577.61	1575.03	1577.54	3316	0	23
2020.01.06	13:00:00	1577.53	1579.24	1576.08	1578.87	2959	0	23
2020.01.06	14:00:00	1578.69	1578.95	1576.04	1576.60	3515	0	23
2020.01.06	15:00:00	1576.59	1577.62	1571.42	1574.19	7084	0	23
2020.01.06	16:00:00	1574.28	1576.59	1572.53	1572.86	8884	0	23
2020.01.06	17:00:00	1572.86	1574.12	1560.87	1564.16	12987	0	23
2020.01.06	18:00:00	1564.25	1565.63	1560.72	1564.63	6976	0	23
2020.01.06	19:00:00	1564.63	1565.25	1562.04	1564.42	4172	0	23
2020.01.06	20:00:00	1564.44	1568.43	1563.76	1566.47	4734	0	23
2020.01.06	21:00:00	1566.43	1567.59	1562.94	1564.75	3819	0	23
2020.01.06	22:00:00	1564.77	1566.78	1564.23	1565.53	2710	0	23
2020.01.06	23:00:00	1565.49	1566.70	1565.13	1565.63	1520	0	23
2020.01.07	00:00:00	1565.26	1577.32	1555.34	1574.33	242398	0	0
2020.01.07	01:00:00	1565.18	1565.67	1563.53	1563.68	2027	0	23
2020.01.07	02:00:00	1563.70	1565.51	1562.54	1564.21	2628	0	23
2020.01.07	03:00:00	1564.21	1564.55	1556.45	1557.80	5148	0	23
2020.01.07	04:00:00	1557.81	1560.83	1555.24	1558.91	4557	0	23
2020.01.07	05:00:00	1558.90	1559.91	1558.26	1558.95	1602	0	23
2020.01.07	06:00:00	1558.96	1559.73	1557.86	1559.16	1430	0	23
2020.01.07	07:00:00	1559.17	1562.92	1558.95	1562.40	3141	0	23
2020.01.07	08:00:00	1562.45	1569.24	1562.28	1564.72	6294	0	23
2020.01.07	09:00:00	1564.70	1570.84	1564.51	1569.66	5988	0	23
2020.01.07	10:00:00	1569.54	1570.41	1564.48	1564.79	7139	0	23
2020.01.07	11:00:00	1564.83	1566.80	1563.16	1566.12	4405	0	23
2020.01.07	12:00:00	1566.06	1567.11	1565.05	1565.60	3809	0	23
2020.01.07	13:00:00	1565.58	1568.80	1565.41	1567.53	2848	0	23
2020.01.07	14:00:00	1567.50	1569.50	1563.79	1565.10	4325	0	23
2020.01.07	15:00:00	1565.06	1568.22	1564.54	1568.08	6946	0	23
2020.01.07	16:00:00	1568.08	1571.60	1566.16	1568.89	8739	0	23
2020.01.07	17:00:00	1568.88	1571.30	1565.44	1568.51	11789	0	23
2020.01.07	18:00:00	1568.49	1571.67	1568.32	1570.99	7038	0	23
2020.01.07	19:00:00	1571.01	1573.08	1570.78	1571.81	4398	0	23
2020.01.07	20:00:00	1571.81	1573.04	1570.64	1572.33	3224	0	23
2020.01.07	21:00:00	1572.31	1572.99	1569.50	1571.14	4104	0	23
2020.01.07	22:00:00	1571.17	1571.92	1569.61	1571.60	2642	0	23
2020.01.07	23:00:00	1571.69	1577.24	1571.40	1573.19	3330	0	23
2020.01.08	00:00:00	1575.74	1611.39	1552.28	1556.30	349912	0	0
2020.01.08	01:00:00	1574.05	1598.29	1574.05	1594.96	11096	0	23
2020.01.08	02:00:00	1594.85	1611.26	1592.52	1598.89	15766	0	23
2020.01.08	03:00:00	1598.85	1604.70	1590.51	1593.37	13523	0	23
